施設種別,都道府県,市区町村,施設名,住所,郵便番号,設置者法人名,運営委託先法人名,設置区分,設置パターン,定員合計,在籍児童合計,充足率,開所時間,開所曜日,施設HP,出典
企業主導型保育園,長崎県,長崎市,クレセール保育園,長崎県長崎市宿町729-1,,株式会社アシスト,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,36,15,41.67%,08:00～19:00（延長07:00～20:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,スマイル保育園,長崎県長崎市丸尾町6番17号 重工記念長崎病院,,医療法人重工記念長崎病院,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,19,16,84.21%,07:00～18:00（延長07:00～20:00）,月 火 水 木 金 土,http://jmnh.or.jp/,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,ニチイキッズ長崎新地保育園,長崎県長崎市新地町8-16 ミナトパークビル2F,,株式会社ニチイ学館,,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,19,17,89.47%,07:30～20:30,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,社会福祉法人優輝会 ゆうき保育園,長崎県長崎市上小島５丁目１０番１１号,,社会福祉法人 優輝会,株式会社メディフェア,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,18,18,100%,07:00～20:00（延長00:00～00:00）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,育ちの家保育園,長崎県長崎市立山2丁目16番1号,,株式会社長崎スカイホテル,長崎ホテルサービス株式会社,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,41,35,85.37%,07:30～18:30,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,長崎みらい保育園,長崎県長崎市賑町5-21 パークサイドトラヤビル1階,,株式会社メディフェア,,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,19,19,100%,07:00～20:00（延長07:00～21:30）,月 火 水 木 金 土 日,https://nagasaki-miraihoikuen.medifare.jp,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,長崎大学文教おもやい保育園,長崎県長崎市文教町1番14号 長崎大学文教おもやい保育園,,国立大学法人長崎大学,社会福祉法人おおぞら,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,37,37,100%,07:00～18:00（延長07:00～19:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,長崎県,長崎市,青山ニュータウン保育園,長崎県長崎市油木町92番地1,,社会福祉法人致遠会,,,7.「その他」1～6以外で設置,60,58,96.67%,07:00～18:00（延長07:00～18:30）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,長崎県,長崎市,くるみ幼稚園,長崎県長崎市片淵３丁目１１番７号,850-0003,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,幼保連携型認定こども園　ひかり幼稚園,長崎県長崎市岩見町１４－６,852-8017,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,幼保連携型認定こども園くるみ北幼稚園,長崎県長崎市横尾４丁目１－３０,852-8065,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,幼保連携型認定こども園第二ひかり幼稚園,長崎県長崎市小江原２丁目３６－２８,851-1132,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,幼保連携型認定こども園長崎純心大学附属純心幼稚園,長崎県長崎市文教町１３－１５,852-8515,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,聖母の騎士幼稚園,長崎県長崎市本河内２丁目２番２号,850-0012,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園さくら幼稚園・さくらんぼ保育園,長崎県長崎市新小ヶ倉２丁目１－５０,850-0962,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園三和幼稚園,長崎県長崎市晴海台町３２－２,851-0402,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,長崎県,長崎市,認定こども園友愛社会館幼稚園,長崎県長崎市富士見町２１－１８,852-8022,,,私立,,,,,,,,文部科学省_学校コード一覧
