施設種別,都道府県,市区町村,施設名,住所,郵便番号,設置者法人名,運営委託先法人名,設置区分,設置パターン,定員合計,在籍児童合計,充足率,開所時間,開所曜日,施設HP,出典
幼稚園,三重県,三重郡川越町,川越町立川越幼稚園,三重県三重郡川越町豊田一色３８４－１,510-8123,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,三重郡朝日町,朝日町立朝日幼稚園,三重県三重郡朝日町小向２０６８－１,510-8102,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,三重郡菰野町,菰野町立千種幼稚園,三重県三重郡菰野町大字音羽２２４０,510-1252,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,三重郡菰野町,菰野町立竹永幼稚園,三重県三重郡菰野町大字永井５９,510-1311,,,公立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,三重県,亀山市,みずきが丘道伯幼稚園,三重県亀山市みずきが丘８１,519-0181,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立みずほ台幼稚園,三重県亀山市みずほ台１４番地の２９５,519-0105,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立亀山幼稚園,三重県亀山市江ヶ室１丁目２番１０号,519-0121,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立亀山東幼稚園,三重県亀山市本町１丁目９番１７号,519-0116,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,亀山市,亀山市立井田川幼稚園,三重県亀山市みどり町５３番地の１,519-0106,,,公立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,伊勢市,医療法人全心会 伊勢けいゆう塾保育園,三重県伊勢市御薗町高向810-14,,医療法人 全心会,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,119,109,91.60%,07:00～20:00（延長05:30～23:00）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼稚園,三重県,伊勢市,まるこ幼稚園,三重県伊勢市一之木１－８－３,516-0071,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,伊勢市立小俣幼稚園,三重県伊勢市小俣町本町１,519-0505,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,伊勢市立明野幼稚園,三重県伊勢市小俣町明野１４８１,519-0501,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,双康幼稚園,三重県伊勢市黒瀬町５６２－１３,516-0018,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,和順幼稚園,三重県伊勢市小俣町元町２１４番地３,519-0503,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,常盤幼稚園,三重県伊勢市岩渕１－６－３２,516-0037,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,神宮五十鈴川幼稚園,三重県伊勢市宇治中之切町３８－２,516-0025,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊勢市,神宮高倉山幼稚園,三重県伊勢市八日市場町１７－２０,516-0076,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,伊賀市,DMG MORI伊賀保育園,三重県伊賀市御代201,,ＤＭＧ森精機株式会社,株式会社ポピンズエデュケア,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,50,16,32%,07:15～18:15（延長07:15～19:00）,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,伊賀市,どんぐり保育園,三重県伊賀市ゆめが丘6丁目1-1,,株式会社 中田商事,,,2.「住宅地型」駅等近接以外の住宅地に設置,19,19,100%,07:30～20:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,伊賀市,ハートランド保育園ことりの丘,三重県伊賀市緑ケ丘本町1606番,,一般財団法人信貴山病院,ライクキッズ株式会社,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,30,7,23.33%,07:00～20:00,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,伊賀市,ＰＯＷＥＲ ＫＩd’ｓＩＧＡ,三重県伊賀市小田町257−4,,株式会社Y'scorporation,,,3.「工業団地型・商業団地型」工業団地内又は商業（市場）団地内に設置し、共同 で利用,12,11,91.67%,07:30～18:30（延長07:30～19:30）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,三重県,伊賀市,認定こども園青山よさみ幼稚園,三重県伊賀市柏尾１３９７－１４,518-0224,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊賀市,伊賀市立桃青の丘幼稚園,三重県伊賀市上野丸之内１７７番地１,518-0873,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,伊賀市,白鳳幼稚園,三重県伊賀市上野伊予町１０６７－１,518-0852,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,北牟婁郡紀北町,紀北町立紀伊長島幼稚園,三重県北牟婁郡紀北町長島２８６番地の３,519-3205,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,南牟婁郡紀宝町,紀宝町立うどの幼稚園,三重県南牟婁郡紀宝町鵜殿１２３２－１,519-5701,,,公立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,名張市,POWER KId's NABARI,三重県名張市蔵持町里3331番地,,株式会社Y'scorporation,,,3.「工業団地型・商業団地型」工業団地内又は商業（市場）団地内に設置し、共同 で利用,19,19,100%,07:30～18:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,名張市,名張やる気保育園,三重県名張市桜ケ丘3110-1 憩いの里名張ケアホーム内,,株式会社ライフ・テクノサービス,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,19,19,100%,08:00～19:00（延長06:30～19:30）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,三重県,名張市,認定こども園つつじが丘幼稚園,三重県名張市つつじが丘北３－７,518-0433,,,私立,,,,,,,,文部科学省_学校コード一覧
幼保連携型認定こども園,三重県,名張市,認定こども園名張よさみ幼稚園,三重県名張市夏見字芝出５４５,518-0441,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,名張市,梅が丘幼稚園,三重県名張市梅が丘南２番町２７８番地,518-0742,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,名張市桔梗が丘１番町２街区,桔梗が丘幼稚園,三重県名張市桔梗が丘１番町２街区６番地,518-0621,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,員弁郡東員町,東員町立三和幼稚園,三重県員弁郡東員町長深６９０番地,511-0255,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,員弁郡東員町,東員町立城山幼稚園,三重県員弁郡東員町城山１丁目４４,511-0233,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,員弁郡東員町,東員町立神田幼稚園,三重県員弁郡東員町六杷野新田１１１,511-0242,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,員弁郡東員町,東員町立稲部幼稚園,三重県員弁郡東員町大字大木１０７５番地,511-0244,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,員弁郡東員町,東員町立笹尾東幼稚園,三重県員弁郡東員町笹尾東４－２８,511-0232,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,員弁郡東員町,東員町立笹尾西幼稚園,三重県員弁郡東員町笹尾西２丁目３１番１,511-0231,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,あおい幼稚園,三重県四日市市大矢知町２７００,510-8034,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,ときわ幼稚園,三重県四日市市西松本町１５－１０,510-0837,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,ひかり幼稚園,三重県四日市市伊倉２－８－２３,510-0832,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,まきば幼稚園,三重県四日市市松本３丁目１番３７号,510-0836,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,エンゼル幼稚園,三重県四日市市千代田町４５９番地,512-8065,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,四日市市立三重幼稚園,三重県四日市市東坂部町１１０－１,512-0904,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,四日市市立大矢知幼稚園,三重県四日市市大矢知町３２５５番地,510-8034,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,富田文化幼稚園,三重県四日市市茂福９０５－４,510-8027,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,幼稚園型認定こども園内部幼稚園,三重県四日市市采女町９１１番地,510-0954,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,幼稚園型認定こども園常磐中央幼稚園,三重県四日市市ときわ５丁目４－５３,510-0834,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,幼稚園型認定こども園泊山幼稚園,三重県四日市市前田町１番１９号,510-0893,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,幼稚園型認定こども園海蔵幼稚園,三重県四日市市大字東阿倉川５８０番地,510-0805,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,幼稚園型認定こども園笹川中央幼稚園,三重県四日市市笹川３丁目１５７番地,510-0944,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,幼稚園型認定こども園羽津幼稚園,三重県四日市市大宮西町１９番２２号,510-0004,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,暁幼稚園,三重県四日市市天カ須賀五丁目２－５,510-8001,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,桜あおい幼稚園,三重県四日市市智積町６１０４,512-1212,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,津田三滝幼稚園,三重県四日市市川島町６５１３,512-0934,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,津田第一幼稚園,三重県四日市市笹川１丁目１０６－２,510-0944,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,津田第二幼稚園,三重県四日市市笹川７丁目５２,510-0944,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,海の星カトリック幼稚園,三重県四日市市十七軒町２－４,510-0063,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,羽津文化幼稚園,三重県四日市市別名５－４－３１,510-0007,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,四日市,認定こども園めぐみの園幼稚園,三重県四日市市室山町４７５－１,510-0948,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,四日市市,おーごえ保育園,三重県四日市市広永町字五反田1182-1,,株式会社Ｏ−ＧＯＥ,,,3.「工業団地型・商業団地型」工業団地内又は商業（市場）団地内に設置し、共同 で利用,16,15,93.75%,07:30～18:30（延長07:30～19:00）,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,もりのくに褒育園 四日市,三重県四日市市天カ須賀４丁目２２５番地１ もりのくにHAPPY親子園１F,,株式会社セカンド・ステージ,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,19,19,100%,08:00～18:00,月 火 水 木 金 土 日,https://morinokuni.group/morino-ie,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,イオンゆめみらい保育園 四日市泊,三重県四日市市泊小柳町4-5-3,,イオンタウン株式会社,ＳＯＵキッズケア株式会社,,4.「大型施設型」百貨店、ショッピングセンター内に設置し、テナントが共同で利 用,21,15,71.43%,07:00～20:00（延長07:00～22:00）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,キッズ・ティアラⅡ,三重県四日市市鵜の森一丁目12番6号 ステージ鵜の森1F,,株式会社 ティアラ,,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,12,10,83.33%,07:00～18:00（延長07:00～20:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,学校法人常磐学園 あい・ときわ,三重県四日市市西松本町１５−１０ あい・ときわ,,常磐学園,,,2.「住宅地型」駅等近接以外の住宅地に設置,12,12,100%,07:30～18:30,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,近鉄ほいくえん四日市,三重県四日市市諏訪栄町7番34号 近鉄百貨店四日市店事務館3階,,近鉄グループホールディングス株式会社,株式会社タスク・フォースミテラ,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,30,11,36.67%,07:30～20:30（延長06:30～21:30）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,ＳＷＳこねくとキッズ四日市,三重県四日市市南納屋町15-9,,住友電装株式会社,株式会社ポピンズエデュケア,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,30,18,60%,07:00～18:00（延長07:00～19:00）,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,四日市市,ｍｉｍｉ,三重県四日市市下海老町字髙松185-3 四日市消化器病センター,,医療法人社団プログレス,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,15,10,66.67%,08:00～19:00,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,多気郡明和町,企業主導型保育かりん明和,三重県多気郡明和町平尾字野田499-15,,株式会社吉清会,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,19,16,84.21%,08:30～17:30,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,志摩市,グローバルキッズルームうがた,三重県志摩市阿児町鵜方2824-84,,社会福祉法人恒心福祉会,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,19,19,100%,08:00～19:00,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼稚園,三重県,志摩市,志摩市立鵜方幼稚園,三重県志摩市阿児町鵜方１５４７,517-0501,,,公立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,松阪市,うれしのひだまり保育園,三重県松阪市嬉野天花寺町 647番地240,,ニプロファーマ株式会社,株式会社ニチイ学館,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,19,15,78.95%,08:00～18:00,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,松阪市,やまゆりの里保育園,三重県松阪市嬉野中川町1529-1,,社会福祉法人あけあい会,株式会社アイグラン,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,9,5,55.56%,07:30～18:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,松阪市,保育園エトワール,三重県松阪市山室町690-2 保育園エトワール,,医療法人松徳会,株式会社キッズコーポレーション,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,12,12,100%,07:30～18:30（延長00:00～00:00）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
幼稚園,三重県,松阪市,まつさか幼稚園,三重県松阪市中央町４６８,515-0019,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立中原幼稚園,三重県松阪市嬉野田村町３９９－２,515-2333,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立伊勢寺幼稚園,三重県松阪市伊勢寺町３０４,515-0845,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立射和幼稚園,三重県松阪市庄町７３７,519-2147,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立山室幼稚園,三重県松阪市山室町１８０７,515-0052,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立揥水幼稚園,三重県松阪市豊原町１１２０,515-0205,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立朝見幼稚園,三重県松阪市大宮田町１９５,515-0024,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立松尾幼稚園,三重県松阪市丹生寺６３３,515-0832,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立松江幼稚園,三重県松阪市川井町３６６－１,515-0818,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立機殿幼稚園,三重県松阪市六根町１９－３,515-0127,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立港幼稚園,三重県松阪市荒木町１６,515-0007,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立漕代幼稚園,三重県松阪市目田町２０７,515-0216,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立花岡幼稚園,三重県松阪市大黒田町６３５－１,515-0063,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立西黒部幼稚園,三重県松阪市西黒部町７１３－１,515-0103,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立豊地幼稚園,三重県松阪市嬉野下之庄町３２７－１,515-2354,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立鎌田幼稚園,三重県松阪市鎌田町８０５,515-0005,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,松阪市立阿坂幼稚園,三重県松阪市小阿坂町３３２５番地,515-2343,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,松阪市,梅村幼稚園,三重県松阪市久保町１８４３－１０,515-0044,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,桑名市,キッズプラザながしま,三重県桑名市長島町福吉265,,社会福祉法人誠真会,,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,30,35,116.67%,08:00～19:00（延長00:00～00:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,桑名市,ベアキッズらんど 桑名,三重県桑名市東方日物谷２２３３番１,,NTN株式会社,サンヨーホームズコミュニティ株式会社,,6.「事業所内設置型」上記以外で事業所の敷地（建物）内に設置,30,23,76.67%,07:00～18:00（延長07:00～19:30）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,桑名市,津田ナーサリースクール,三重県桑名市野田五丁目３番地13,,学校法人津田学園,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,12,5,41.67%,07:45～18:45,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼稚園,三重県,桑名市,コスモス幼稚園,三重県桑名市大字桑部字矢間２０６８番地,511-0923,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,マリア・モンテッソーリ幼稚園,三重県桑名市西方笹山７８７,511-0864,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,幼稚園型認定こども園くわな幼稚園,三重県桑名市大字西汰上６５６番地,511-0807,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立光陵幼稚園,三重県桑名市大山田６丁目８番地,511-0903,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立光風幼稚園,三重県桑名市大字東方３０２番地の５,511-0811,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立多度幼稚園,三重県桑名市多度町北猪飼２９９－１,511-0123,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立成徳北幼稚園,三重県桑名市下深谷部３６８３の１,511-0808,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立成徳南幼稚園,三重県桑名市大字東方２１５７番地,511-0811,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立明正幼稚園,三重県桑名市蓮花寺１２９－２,511-0854,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立正和北幼稚園,三重県桑名市芳ヶ崎１２３２－２,511-0944,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立正和南幼稚園,三重県桑名市志知３８４６－１,511-0937,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立長島幼稚園,三重県桑名市長島町源部外面２１５番地,511-1125,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立陵成幼稚園,三重県桑名市藤が丘６ー１０９－２,511-0865,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,桑名市立陽和幼稚園,三重県桑名市吉之丸１０,511-0032,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,津田大山田幼稚園,三重県桑名市野田５－３－１２,511-0904,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,桑名市,津田桑名幼稚園,三重県桑名市清竹の丘９,511-0810,,,私立,,,,,,,,文部科学省_学校コード一覧
企業主導型保育園,三重県,津市,イオンゆめみらい保育園津南,三重県津市高茶屋小森町145番地 イオンモール津南1階,,イオンモール株式会社,株式会社ニチイ学館,,4.「大型施設型」百貨店、ショッピングセンター内に設置し、テナントが共同で利 用,28,26,92.86%,07:00～20:00（延長07:00～22:00）,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,津市,エトワール保育園,三重県津市一志町日置４６,,株式会社セントレア,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,11,11,100%,07:30～18:30,月 火 水 木 金 土 日,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,津市,グリーンヒル保育園,三重県津市緑が丘一丁目1番地2 特別養護老人ホーム グリーンヒル,,社会福祉法人あけあい会,株式会社アイグラン,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,12,10,83.33%,07:30～18:30,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,津市,ニチイキッズさくらばし保育園,三重県津市桜橋2丁目133 ポレスター桜橋1階,,株式会社ニチイ学館,,,1.「駅等近接型」交通の利便性の高い駅等の近くに設置,18,15,83.33%,08:00～19:00（延長08:00～20:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,津市,企業主導型保育園 ひまわり保育園,三重県津市久居北口町字野中２７番地１,,伊勢温泉観光株式会社,,,2.「住宅地型」駅等近接以外の住宅地に設置,19,17,89.47%,07:00～18:00（延長07:00～19:00）,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,津市,保育所ここよ,三重県津市垂水６３６番地,,株式会社よ木よ,,,5.「病院・介護施設・学校内設置型」病院、介護施設又は学校内に設置,15,0,0%,08:00～19:00,月 火 水 木 金,,児童育成協会_2026年1月施設一覧
企業主導型保育園,三重県,津市,ＢａｂｙＣａｒｅクレッチェ,三重県津市高茶屋６丁目１１−９ アイムB101,,株式会社M・Kプランニング,,,2.「住宅地型」駅等近接以外の住宅地に設置,17,17,100%,07:00～20:00,月 火 水 木 金 土,,児童育成協会_2026年1月施設一覧
幼保連携型認定こども園,三重県,津市,認定子供園清泉幼稚園,三重県津市南丸之内９－１２,514-0034,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,のべの幼稚園,三重県津市久居二ノ町１８５５,514-1121,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,ふたば幼稚園,三重県津市白塚町３６４７－１,514-0101,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,三重大学教育学部附属幼稚園,三重県津市観音寺町５２３,514-0062,,,国立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,大川幼稚園,三重県津市大谷町２４０,514-0007,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,日生学園附属幼稚園,三重県津市白山町八対野２７３９,515-2692,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立のむら幼稚園,三重県津市久居野村町５４２－３,514-1113,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立みさと幼稚園,三重県津市美里町家所２０５４,514-2104,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立千里ヶ丘幼稚園,三重県津市河芸町千里ヶ丘１３,510-0302,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立南立誠幼稚園,三重県津市桜橋２丁目３９,514-0003,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立安濃幼稚園,三重県津市安濃町内多４７６,514-2303,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立密柑山幼稚園,三重県津市久居北口町５５４－２,514-1105,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立川合幼稚園,三重県津市一志町八太１１６４－１,515-2515,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立巽ヶ丘幼稚園,三重県津市久居東鷹跡町１７７－５,514-1136,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立戸木幼稚園,三重県津市戸木町２３３７,514-1138,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立敬和幼稚園,三重県津市中河原南浦４４５,514-0018,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立明合幼稚園,三重県津市安濃町大塚２５３－２,514-2323,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立村主幼稚園,三重県津市安濃町連部９１－５,514-2312,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立栗葉幼稚園,三重県津市森町２８４－１,514-1254,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立桃園幼稚園,三重県津市新家町８７３－１,514-1116,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立榊原幼稚園,三重県津市榊原町５１５６,514-1251,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立藤水幼稚園,三重県津市藤方１６２７,514-0815,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津市立黒田幼稚園,三重県津市河芸町北黒田１０９－１,510-0317,,,公立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,津西幼稚園,三重県津市河辺町字長２２７３－８,514-0065,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,聖ヤコブ幼稚園,三重県津市丸之内３４－１６,514-0033,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,津市,高田幼稚園,三重県津市一身田町７４６,514-0114,,,私立,,,,,,,,文部科学省_学校コード一覧
幼稚園,三重県,熊野市,有馬幼稚園,三重県熊野市有馬町６５０番地,519-4325,,,私立,,,,,,,,文部科学省_学校コード一覧
